,Equation Number,eqn,soln
12,16,"(-1) = ((2 / x) + 3)
","(-1) = ((2 / x) + 3)
|((-1) - 3) = (((2 / x) + 3) - 3)|(-4) = (((2 / x) + 3) - 3)|((-4) / (-4)) = ((((2 / x) + 3) - 3) / (-4))|(((-4) / (-4)) * x) = (((((2 / x) + 3) - 3) / (-4)) * x)|1x = (((((2 / x) + 3) - 3) / (-4)) * x)|x = (((((2 / x) + 3) - 3) / (-4)) * x)|x = ((((2 / x) + (3 - 3)) / (-4)) * x)|x = ((((2 / x) + 0) / (-4)) * x)|x = (x * (((2 / x) + 0) / (-4)))|x = ((x * ((2 / x) + 0)) / (-4))|x = ((x * (2 / x)) / (-4))|x = (((x * 2) / x) / (-4))|x = ((2x / x) / (-4))|x = ((2 * (x / x)) / (-4))|x = ((2 * 1) / (-4))|x = (2 / (-4))|x = ([-1/2])"
13,19,"(-1) = (2 + 3x)
","(-1) = (2 + 3x)
|((-1) - 2) = ((2 + 3x) - 2)|((-1) - 2) = ((3x + 2) - 2)|((3x + 2) - 2) = ((-1) - 2)|(3x + (2 - 2)) = ((-1) - 2)|((3x + (2 - 2)) / 3) = (((-1) - 2) / 3)|(((x * 3) + (2 - 2)) / 3) = (((-1) - 2) / 3)|(((x * 3) + 0) / 3) = (((-1) - 2) / 3)|((x * 3) / 3) = (((-1) - 2) / 3)|(x * (3 / 3)) = (((-1) - 2) / 3)|(x * 1) = (((-1) - 2) / 3)|x = (((-1) - 2) / 3)|x = ((-3) / 3)|x = (-1)"
14,20,"(1x + (-2)) = (3 + -4x)
","(1x + (-2)) = (3 + -4x)
|((1x + (-2)) - (-2)) = ((3 + -4x) - (-2))|(((1x + (-2)) - (-2)) - -4x) = (((3 + -4x) - (-2)) - -4x)|(((1x + (-2)) - (-2)) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + ((-2) - (-2))) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + 0) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + 0) - -4x) = ((3 + (-4x - -4x)) - (-2))|((1x + 0) - -4x) = ((3 + 0) - (-2))|((1x + 0) - -4x) = (3 - (-2))|(1x - -4x) = (3 - (-2))|((1 - (-4)) * x) = (3 - (-2))|5x = (3 - (-2))|(5x / 5) = ((3 - (-2)) / 5)|((x * 5) / 5) = ((3 - (-2)) / 5)|(x * (5 / 5)) = ((3 - (-2)) / 5)|(x * 1) = ((3 - (-2)) / 5)|x = ((3 - (-2)) / 5)|x = (5 / 5)|x = 1"
15,21,"((-1) / 2) = x
","((-1) / 2) = x
|x = ((-1) / 2)|x = ([-1/2])"
16,22,"((-1) / x) = (-2)
","((-1) / x) = (-2)
|(((-1) / x) / (-2)) = ((-2) / (-2))|((((-1) / x) / (-2)) * x) = (((-2) / (-2)) * x)|((((-1) / x) / (-2)) * x) = 1x|(x * (((-1) / x) / (-2))) = 1x|((x * ((-1) / x)) / (-2)) = 1x|(((x * (-1)) / x) / (-2)) = 1x|((-1x / x) / (-2)) = 1x|((-1x / x) / (-2)) = x|x = ((-1x / x) / (-2))|x = (((-1) * (x / x)) / (-2))|x = (((-1) * 1) / (-2))|x = ((-1) / (-2))|x = [1/2]"
17,24,"-1x = (2x + 3)
","-1x = (2x + 3)
|(-1x - 2x) = ((2x + 3) - 2x)|(-1x - 2x) = ((3 + 2x) - 2x)|(((-1) - 2) * x) = ((3 + 2x) - 2x)|(((-1) - 2) * x) = (3 + (2x - 2x))|(((-1) - 2) * x) = (3 + 0)|-3x = (3 + 0)|(x * (-3)) = (3 + 0)|(x * (-3)) = 3|((x * (-3)) / (-3)) = (3 / (-3))|(x * ((-3) / (-3))) = (3 / (-3))|(x * 1) = (3 / (-3))|x = (3 / (-3))|x = (-1)"
18,25,"(1 + -2x) = (-3x + (-4))
","(1 + -2x) = (-3x + (-4))
|((1 + -2x) - (-4)) = ((-3x + (-4)) - (-4))|((-3x + (-4)) - (-4)) = ((1 + -2x) - (-4))|(((-3x + (-4)) - (-4)) - -2x) = (((1 + -2x) - (-4)) - -2x)|(((-3x + (-4)) - (-4)) - -2x) = (((1 + -2x) - -2x) - (-4))|((-3x + ((-4) - (-4))) - -2x) = (((1 + -2x) - -2x) - (-4))|((-3x + 0) - -2x) = (((1 + -2x) - -2x) - (-4))|((-3x + 0) - -2x) = ((1 + (-2x - -2x)) - (-4))|((-3x + 0) - -2x) = ((1 + 0) - (-4))|((-3x + 0) - -2x) = (1 - (-4))|(-3x - -2x) = (1 - (-4))|(((-3) - (-2)) * x) = (1 - (-4))|-1x = (1 - (-4))|(x * (-1)) = (1 - (-4))|((x * (-1)) * (-1)) = ((1 - (-4)) * (-1))|(x * ((-1) * (-1))) = ((1 - (-4)) * (-1))|(x * 1) = ((1 - (-4)) * (-1))|x = ((1 - (-4)) * (-1))|x = (5 * (-1))|x = (-5)"
19,26,"(1 + -2x) = ((-3) + -4x)
","(1 + -2x) = ((-3) + -4x)
|((1 + -2x) - -4x) = (((-3) + -4x) - -4x)|((1 + -2x) - -4x) = ((-3) + (-4x - -4x))|((1 + -2x) - -4x) = ((-3) + 0)|(1 + (-2x - -4x)) = ((-3) + 0)|((-2x - -4x) + 1) = ((-3) + 0)|((((-2) - (-4)) * x) + 1) = ((-3) + 0)|(((((-2) - (-4)) * x) + 1) - 1) = (((-3) + 0) - 1)|(((((-2) - (-4)) * x) + 1) - 1) = ((-3) - 1)|((((-2) - (-4)) * x) + (1 - 1)) = ((-3) - 1)|((((-2) - (-4)) * x) + 0) = ((-3) - 1)|(((-2) - (-4)) * x) = ((-3) - 1)|2x = ((-3) - 1)|(2x / 2) = (((-3) - 1) / 2)|((x * 2) / 2) = (((-3) - 1) / 2)|(x * (2 / 2)) = (((-3) - 1) / 2)|(x * 1) = (((-3) - 1) / 2)|x = (((-3) - 1) / 2)|x = ((-4) / 2)|x = (-2)"
20,27,"((-1) + (2 / x)) = 3
","((-1) + (2 / x)) = 3
|((2 / x) + (-1)) = 3|(((2 / x) + (-1)) - (-1)) = (3 - (-1))|(((2 / x) + (-1)) - (-1)) = 4|((((2 / x) + (-1)) - (-1)) / 4) = (4 / 4)|(((((2 / x) + (-1)) - (-1)) / 4) * x) = ((4 / 4) * x)|(x * ((((2 / x) + (-1)) - (-1)) / 4)) = ((4 / 4) * x)|(x * (((2 / x) + ((-1) - (-1))) / 4)) = ((4 / 4) * x)|(x * (((2 / x) + 0) / 4)) = ((4 / 4) * x)|(x * ((2 / x) / 4)) = ((4 / 4) * x)|((x * (2 / x)) / 4) = ((4 / 4) * x)|((x * (2 / x)) / 4) = 1x|(((x * 2) / x) / 4) = 1x|((2x / x) / 4) = 1x|((2 * (x / x)) / 4) = 1x|((2 * 1) / 4) = 1x|1x = ((2 * 1) / 4)|x = ((2 * 1) / 4)|x = (2 / 4)|x = [1/2]"
21,28,"(-1x + 2x) = (-3)
","(-1x + 2x) = (-3)
|(((-1) + 2) * x) = (-3)|1x = (-3)|x = (-3)"
22,30,"(1 / x) = 2
","(1 / x) = 2
|((1 / x) / 2) = (2 / 2)|(((1 / x) / 2) * x) = ((2 / 2) * x)|(((1 / x) / 2) * x) = 1x|(x * ((1 / x) / 2)) = 1x|((x * (1 / x)) / 2) = 1x|(((x * 1) / x) / 2) = 1x|((x / x) / 2) = 1x|1x = ((x / x) / 2)|x = ((x / x) / 2)|x = (1 / 2)|x = [1/2]"
23,31,"((-1) + -2x) = (-3x + (-4))
","((-1) + -2x) = (-3x + (-4))
|(((-1) + -2x) - (-4)) = ((-3x + (-4)) - (-4))|((-3x + (-4)) - (-4)) = (((-1) + -2x) - (-4))|(-3x + ((-4) - (-4))) = (((-1) + -2x) - (-4))|(-3x + 0) = (((-1) + -2x) - (-4))|((-3x + 0) - -2x) = ((((-1) + -2x) - (-4)) - -2x)|((-3x + 0) - -2x) = ((((-1) + -2x) - -2x) - (-4))|((-3x + 0) - -2x) = (((-1) + (-2x - -2x)) - (-4))|((-3x + 0) - -2x) = (((-1) + 0) - (-4))|((-3x + 0) - -2x) = ((-1) - (-4))|(-3x - -2x) = ((-1) - (-4))|(((-3) - (-2)) * x) = ((-1) - (-4))|-1x = ((-1) - (-4))|(x * (-1)) = ((-1) - (-4))|((x * (-1)) * (-1)) = (((-1) - (-4)) * (-1))|(x * ((-1) * (-1))) = (((-1) - (-4)) * (-1))|(x * 1) = (((-1) - (-4)) * (-1))|(x * 1) = (3 * (-1))|x = (3 * (-1))|x = (-3)"
24,33,"1 = ((-2) + -3x)
","1 = ((-2) + -3x)
|(1 - (-2)) = (((-2) + -3x) - (-2))|(1 - (-2)) = ((-3x + (-2)) - (-2))|(1 - (-2)) = (-3x + ((-2) - (-2)))|(1 - (-2)) = ((x * (-3)) + ((-2) - (-2)))|((1 - (-2)) / (-3)) = (((x * (-3)) + ((-2) - (-2))) / (-3))|((1 - (-2)) / (-3)) = (((x * (-3)) + 0) / (-3))|((1 - (-2)) / (-3)) = ((x * (-3)) / (-3))|((x * (-3)) / (-3)) = ((1 - (-2)) / (-3))|(x * ((-3) / (-3))) = ((1 - (-2)) / (-3))|(x * ((-3) / (-3))) = (3 / (-3))|(x * 1) = (3 / (-3))|x = (3 / (-3))|x = (-1)"
25,34,"((-1) - 2x) = (3x - 4)
","((-1) - 2x) = (3x - 4)
|(3x - 4) = ((-1) - 2x)|(3x + (-4)) = ((-1) - 2x)|((3x + (-4)) - (-4)) = (((-1) - 2x) - (-4))|(3x + ((-4) - (-4))) = (((-1) - 2x) - (-4))|(3x + 0) = (((-1) - 2x) - (-4))|(3x + 0) = (((-1) + -2x) - (-4))|3x = (((-1) + -2x) - (-4))|(3x - -2x) = ((((-1) + -2x) - (-4)) - -2x)|((3 - (-2)) * x) = ((((-1) + -2x) - (-4)) - -2x)|5x = ((((-1) + -2x) - (-4)) - -2x)|5x = ((((-1) + -2x) - -2x) - (-4))|5x = (((-1) + (-2x - -2x)) - (-4))|(x * 5) = (((-1) + (-2x - -2x)) - (-4))|((x * 5) / 5) = ((((-1) + (-2x - -2x)) - (-4)) / 5)|((x * 5) / 5) = ((((-1) + 0) - (-4)) / 5)|((x * 5) / 5) = (((-1) - (-4)) / 5)|(x * (5 / 5)) = (((-1) - (-4)) / 5)|(x * 1) = (((-1) - (-4)) / 5)|x = (((-1) - (-4)) / 5)|x = (3 / 5)|x = [3/5]"
26,37,"((1 + 2) * x) = 3
","((1 + 2) * x) = 3
|3x = 3|(x * 3) = 3|((x * 3) / 3) = (3 / 3)|(x * (3 / 3)) = (3 / 3)|(x * 1) = (3 / 3)|x = (3 / 3)|x = 1"
27,38,"1 = (2 + (3 / x))
","1 = (2 + (3 / x))
|(1 - 2) = ((2 + (3 / x)) - 2)|(1 - 2) = (((3 / x) + 2) - 2)|(-1) = (((3 / x) + 2) - 2)|((-1) * (-1)) = ((((3 / x) + 2) - 2) * (-1))|(((-1) * (-1)) * x) = (((((3 / x) + 2) - 2) * (-1)) * x)|1x = (((((3 / x) + 2) - 2) * (-1)) * x)|x = (((((3 / x) + 2) - 2) * (-1)) * x)|x = ((((3 / x) + (2 - 2)) * (-1)) * x)|x = ((((3 / x) + 0) * (-1)) * x)|x = (((3 / x) * (-1)) * x)|x = (x * ((3 / x) * (-1)))|x = ((x * (3 / x)) * (-1))|x = (((x * 3) / x) * (-1))|x = ((3x / x) * (-1))|x = ((3 * (x / x)) * (-1))|x = ((3 * 1) * (-1))|x = (3 * (-1))|x = (-3)"
28,40,"1 = (2x + 3)
","1 = (2x + 3)
|(1 - 3) = ((2x + 3) - 3)|((2x + 3) - 3) = (1 - 3)|(2x + (3 - 3)) = (1 - 3)|(2x + 0) = (1 - 3)|2x = (1 - 3)|(x * 2) = (1 - 3)|(x * 2) = (-2)|((x * 2) / 2) = ((-2) / 2)|(x * (2 / 2)) = ((-2) / 2)|(x * 1) = ((-2) / 2)|x = ((-2) / 2)|x = (-1)"
29,41,"(1 + 2x) = (3x + 4)
","(1 + 2x) = (3x + 4)
|((1 + 2x) - 2x) = ((3x + 4) - 2x)|((3x + 4) - 2x) = ((1 + 2x) - 2x)|((4 + 3x) - 2x) = ((1 + 2x) - 2x)|(4 + (3x - 2x)) = ((1 + 2x) - 2x)|(4 + (3x - 2x)) = (1 + (2x - 2x))|(4 + (3x - 2x)) = (1 + 0)|(4 + (3x - 2x)) = 1|((4 + (3x - 2x)) - 4) = (1 - 4)|(((3x - 2x) + 4) - 4) = (1 - 4)|((((3 - 2) * x) + 4) - 4) = (1 - 4)|(((3 - 2) * x) + (4 - 4)) = (1 - 4)|(1x + (4 - 4)) = (1 - 4)|(1x + 0) = (1 - 4)|1x = (1 - 4)|1x = (-3)|x = (-3)"
30,42,"1 = (((-2) / x) + (-3))
","1 = (((-2) / x) + (-3))
|(1 - (-3)) = ((((-2) / x) + (-3)) - (-3))|4 = ((((-2) / x) + (-3)) - (-3))|(4 / 4) = (((((-2) / x) + (-3)) - (-3)) / 4)|((4 / 4) * x) = ((((((-2) / x) + (-3)) - (-3)) / 4) * x)|1x = ((((((-2) / x) + (-3)) - (-3)) / 4) * x)|x = ((((((-2) / x) + (-3)) - (-3)) / 4) * x)|x = (((((-2) / x) + ((-3) - (-3))) / 4) * x)|x = (((((-2) / x) + 0) / 4) * x)|x = ((((-2) / x) / 4) * x)|x = (x * (((-2) / x) / 4))|x = ((x * ((-2) / x)) / 4)|x = (((x * (-2)) / x) / 4)|x = ((-2x / x) / 4)|x = (((-2) * (x / x)) / 4)|x = (((-2) * 1) / 4)|x = ((-2) / 4)|x = ([-1/2])"
31,43,"((-1) + -2x) = (-3)
","((-1) + -2x) = (-3)
|(((-1) + -2x) - (-1)) = ((-3) - (-1))|((-2x + (-1)) - (-1)) = ((-3) - (-1))|(-2x + ((-1) - (-1))) = ((-3) - (-1))|((x * (-2)) + ((-1) - (-1))) = ((-3) - (-1))|((x * (-2)) + 0) = ((-3) - (-1))|(x * (-2)) = ((-3) - (-1))|((x * (-2)) / (-2)) = (((-3) - (-1)) / (-2))|(x * ((-2) / (-2))) = (((-3) - (-1)) / (-2))|(x * ((-2) / (-2))) = ((-2) / (-2))|(x * 1) = ((-2) / (-2))|x = ((-2) / (-2))|x = 1"
32,44,"((-1) + 2x) = (-3x + (-4))
","((-1) + 2x) = (-3x + (-4))
|(((-1) + 2x) - (-4)) = ((-3x + (-4)) - (-4))|((-3x + (-4)) - (-4)) = (((-1) + 2x) - (-4))|(-3x + ((-4) - (-4))) = (((-1) + 2x) - (-4))|(-3x + 0) = (((-1) + 2x) - (-4))|((-3x + 0) - 2x) = ((((-1) + 2x) - (-4)) - 2x)|((-3x + 0) - 2x) = ((((-1) + 2x) - 2x) - (-4))|((-3x + 0) - 2x) = (((-1) + (2x - 2x)) - (-4))|((-3x + 0) - 2x) = (((-1) + 0) - (-4))|((-3x + 0) - 2x) = ((-1) - (-4))|(-3x - 2x) = ((-1) - (-4))|(((-3) - 2) * x) = ((-1) - (-4))|-5x = ((-1) - (-4))|(x * (-5)) = ((-1) - (-4))|(x * (-5)) = 3|((x * (-5)) / (-5)) = (3 / (-5))|(x * ((-5) / (-5))) = (3 / (-5))|(x * 1) = (3 / (-5))|x = (3 / (-5))|x = ([-3/5])"
33,45,"(1x - -2x) = 3
","(1x - -2x) = 3
|((1 - (-2)) * x) = 3|3x = 3|(x * 3) = 3|((x * 3) / 3) = (3 / 3)|(x * (3 / 3)) = (3 / 3)|(x * 1) = (3 / 3)|x = (3 / 3)|x = 1"
34,46,"((-1) + 2x) = (3x - 4)
","((-1) + 2x) = (3x - 4)
|(((-1) + 2x) - 2x) = ((3x - 4) - 2x)|((3x - 4) - 2x) = (((-1) + 2x) - 2x)|((3x - 2x) - 4) = (((-1) + 2x) - 2x)|((3x - 2x) - 4) = ((-1) + (2x - 2x))|((3x - 2x) - 4) = ((-1) + 0)|(((3 - 2) * x) - 4) = ((-1) + 0)|(((3 - 2) * x) - 4) = (-1)|(((3 - 2) * x) + (-4)) = (-1)|((((3 - 2) * x) + (-4)) - (-4)) = ((-1) - (-4))|(((3 - 2) * x) + ((-4) - (-4))) = ((-1) - (-4))|(1x + ((-4) - (-4))) = ((-1) - (-4))|(1x + 0) = ((-1) - (-4))|(1x + 0) = 3|1x = 3|x = 3"
35,47,"(1 / x) = (2 + 3)
","(1 / x) = (2 + 3)
|(1 / x) = 5|((1 / x) / 5) = (5 / 5)|(((1 / x) / 5) * x) = ((5 / 5) * x)|(x * ((1 / x) / 5)) = ((5 / 5) * x)|((x * (1 / x)) / 5) = ((5 / 5) * x)|((x * (1 / x)) / 5) = 1x|(((x * 1) / x) / 5) = 1x|((x / x) / 5) = 1x|(1 / 5) = 1x|1x = (1 / 5)|x = (1 / 5)|x = [1/5]"
