,Equation Number,Equation Output
10,13,"((x - 1) - 2x) = 3x
 | None3x = ((x - 1) - 2x) | refl3x = ((x - 2x) - 1) | sub_comm 0.1, ((x - 1) - 2x)3x = ((x + -2x) - 1) | subsub 0.1.0, (x - 2x)3x = ((x + -2x) + (-1)) | subsub 0.1, ((x + -2x) - 1)3x = ((-2x + x) + (-1)) | comm 0.1.0, (x + -2x)3x = (-2x + (x + (-1))) | assoc 0.1, ((-2x + x) + (-1))5x = ((x + (-1)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -2x~(3x - -2x)~(-2x + (x + (-1)))~(((x + (-1)) + -2x) - -2x)~(-2x - -2x)~(3 - (-2))(5x * (-1)) = (((x + (-1)) + 0) * (-1)) | mul (-1)((-1) * 5x) = (((x + (-1)) + 0) * (-1)) | comm 0.0, (5x * (-1))(((-1) * 5) * x) = (((x + (-1)) + 0) * (-1)) | assoc 0.0, ((-1) * 5x)(((-1) * 5) * x) = ((x + ((-1) + 0)) * (-1)) | assoc 0.1.0, ((x + (-1)) + 0)(((-1) * 5) * x) = ((x * (-1)) + (((-1) + 0) * (-1))) | dist 0.1, ((x + ((-1) + 0)) * (-1))(((-1) * 5) * x) = (-1x + (((-1) + 0) * (-1))) | comm 0.1.0, (x * (-1))-5x = (-1x + (((-1) + 0) * (-1))) | eval 0.0.0, ((-1) * 5)-5x = (-1x + 1) | eval~eval 0.1.1.0~0.1.1, ((-1) + 0)~((-1) * (-1))-4x = (1 + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -1x~(-5x - -1x)~(-1x + 1)~((1 + -1x) - -1x)~(-1x - -1x)~((-5) - (-1))-4x = 1 | eval 0.1, (1 + 0)x = ([-1/4]) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-4)~(1 / (-4))~-4x~((x * (-4)) / (-4))~((-4) / (-4))~(x * 1)"
11,14,"(1x - 2x) = (((3 - 4x) - 5) - 6x)
 | None(1x - 2x) = (((3 - 5) - 4x) - 6x) | sub_comm 0.1.0, ((3 - 4x) - 5)((1 - 2) * x) = (((3 - 5) - 4x) - 6x) | dist 0.0, (1x - 2x)((1 - 2) * x) = (((3 - 5) + -4x) - 6x) | subsub 0.1.0, ((3 - 5) - 4x)-1x = (((3 - 5) + -4x) - 6x) | eval 0.0.0, (1 - 2)-1x = (((3 - 5) + -4x) + -6x) | subsub 0.1, (((3 - 5) + -4x) - 6x)-1x = (-6x + ((3 - 5) + -4x)) | comm 0.1, (((3 - 5) + -4x) + -6x)-1x = (-6x + (-4x + (3 - 5))) | comm 0.1.1, ((3 - 5) + -4x)5x = ((-4x + (3 - 5)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -6x~(-1x - -6x)~(-6x + (-4x + (3 - 5)))~(((-4x + (3 - 5)) + -6x) - -6x)~(-6x - -6x)~((-1) - (-6))5x = (-4x + (3 - 5)) | add0 0.1, ((-4x + (3 - 5)) + 0)9x = ((3 - 5) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -4x~(5x - -4x)~(-4x + (3 - 5))~(((3 - 5) + -4x) - -4x)~(-4x - -4x)~(5 - (-4))9x = (-2) | eval~eval 0.1.0~0.1, (3 - 5)~((-2) + 0)x = ([-2/9]) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 9~((-2) / 9)~9x~((x * 9) / 9)~(9 / 9)~(x * 1)"
12,17,"(1x + (-2)) = (-3x + 4)
 | None((1x + (-2)) - (-2)) = ((-3x + 4) - (-2)) | sub (-2)1x = ((-3x + 4) - (-2)) | assoc~eval~add0 0.0~0.0.1~0.0, ((1x + (-2)) - (-2))~((-2) - (-2))~(1x + 0)1x = (-3x + (4 - (-2))) | assoc 0.1, ((-3x + 4) - (-2))4x = ((4 - (-2)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -3x~(1x - -3x)~(-3x + (4 - (-2)))~(((4 - (-2)) + -3x) - -3x)~(-3x - -3x)~(1 - (-3))4x = 6 | eval~eval 0.1.0~0.1, (4 - (-2))~(6 + 0)x = [3/2] | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 4~(6 / 4)~4x~((x * 4) / 4)~(4 / 4)~(x * 1)"
13,18,"((-1x + 2) - 3) = -4x
 | None-4x = ((-1x + 2) - 3) | refl-4x = (-1x + (2 - 3)) | assoc 0.1, ((-1x + 2) - 3)-3x = ((2 - 3) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -1x~(-4x - -1x)~(-1x + (2 - 3))~(((2 - 3) + -1x) - -1x)~(-1x - -1x)~((-4) - (-1))-3x = (-1) | eval~eval 0.1.0~0.1, (2 - 3)~((-1) + 0)x = [1/3] | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-3)~((-1) / (-3))~-3x~((x * (-3)) / (-3))~((-3) / (-3))~(x * 1)"
14,19,"(-1) = (2 + 3x)
 | None(-1) = (3x + 2) | comm 0.1, (2 + 3x)(3x + 2) = (-1) | refl3x = (-3) | sub~{assoc~eval~eval~add0} $~{0.0~0.0.1~0.1~0.0}, 2~{((3x + 2) - 2)~(2 - 2)~((-1) - 2)~(3x + 0)}x = (-1) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 3~((-3) / 3)~3x~((x * 3) / 3)~(3 / 3)~(x * 1)"
15,20,"(1x + (-2)) = (3 + -4x)
 | None(1x + (-2)) = (-4x + 3) | comm 0.1, (3 + -4x)((1x + (-2)) - (-2)) = ((-4x + 3) - (-2)) | sub (-2)1x = ((-4x + 3) - (-2)) | assoc~eval~add0 0.0~0.0.1~0.0, ((1x + (-2)) - (-2))~((-2) - (-2))~(1x + 0)1x = (-4x + (3 - (-2))) | assoc 0.1, ((-4x + 3) - (-2))5x = ((3 - (-2)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -4x~(1x - -4x)~(-4x + (3 - (-2)))~(((3 - (-2)) + -4x) - -4x)~(-4x - -4x)~(1 - (-4))5x = 5 | eval~eval 0.1.0~0.1, (3 - (-2))~(5 + 0)x = 1 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 5~(5 / 5)~5x~((x * 5) / 5)~(5 / 5)~(x * 1)"
16,21,"((-1) / 2) = x
 | Nonex = ((-1) / 2) | reflx = ([-1/2]) | eval 0.1, ((-1) / 2)"
17,23,"(1x - 2) = ((-3) - 4x)
 | None(1x - 2) = ((-3) + -4x) | subsub 0.1, ((-3) - 4x)((1x - 2) + 2) = (((-3) + -4x) + 2) | add 2((1x + (-2)) + 2) = (((-3) + -4x) + 2) | subsub 0.0.0, (1x - 2)1x = (((-3) + -4x) + 2) | assoc~eval~add0 0.0~0.0.1~0.0, ((1x + (-2)) + 2)~((-2) + 2)~(1x + 0)1x = ((-4x + (-3)) + 2) | comm 0.1.0, ((-3) + -4x)1x = (-4x + ((-3) + 2)) | assoc 0.1, ((-4x + (-3)) + 2)5x = (((-3) + 2) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -4x~(1x - -4x)~(-4x + ((-3) + 2))~((((-3) + 2) + -4x) - -4x)~(-4x - -4x)~(1 - (-4))5x = (-1) | eval~eval 0.1.0~0.1, ((-3) + 2)~((-1) + 0)x = ([-1/5]) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 5~((-1) / 5)~5x~((x * 5) / 5)~(5 / 5)~(x * 1)"
18,24,"-1x = (2x + 3)
 | None-3x = (3 + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 2x~(-1x - 2x)~(2x + 3)~((3 + 2x) - 2x)~(2x - 2x)~((-1) - 2)-3x = 3 | eval 0.1, (3 + 0)x = (-1) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-3)~(3 / (-3))~-3x~((x * (-3)) / (-3))~((-3) / (-3))~(x * 1)"
19,25,"(1 + -2x) = (-3x + (-4))
 | None(-2x + 1) = (-3x + (-4)) | comm 0.0, (1 + -2x)((-2x + 1) - 1) = ((-3x + (-4)) - 1) | sub 1-2x = ((-3x + (-4)) - 1) | assoc~eval~add0 0.0~0.0.1~0.0, ((-2x + 1) - 1)~(1 - 1)~(-2x + 0)-2x = (-3x + ((-4) - 1)) | assoc 0.1, ((-3x + (-4)) - 1)1x = (((-4) - 1) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -3x~(-2x - -3x)~(-3x + ((-4) - 1))~((((-4) - 1) + -3x) - -3x)~(-3x - -3x)~((-2) - (-3))1x = (-5) | eval~eval 0.1.0~0.1, ((-4) - 1)~((-5) + 0)x = (-5) | mul1 0.0, 1x"
20,26,"(1 + -2x) = ((-3) + -4x)
 | None(-2x + 1) = ((-3) + -4x) | comm 0.0, (1 + -2x)((-2x + 1) - 1) = (((-3) + -4x) - 1) | sub 1-2x = (((-3) + -4x) - 1) | assoc~eval~add0 0.0~0.0.1~0.0, ((-2x + 1) - 1)~(1 - 1)~(-2x + 0)-2x = ((-4x + (-3)) - 1) | comm 0.1.0, ((-3) + -4x)-2x = (-4x + ((-3) - 1)) | assoc 0.1, ((-4x + (-3)) - 1)2x = (((-3) - 1) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -4x~(-2x - -4x)~(-4x + ((-3) - 1))~((((-3) - 1) + -4x) - -4x)~(-4x - -4x)~((-2) - (-4))2x = (-4) | eval~eval 0.1.0~0.1, ((-3) - 1)~((-4) + 0)x = (-2) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 2~((-4) / 2)~2x~((x * 2) / 2)~(2 / 2)~(x * 1)"
21,27,"((-1) + (2 / x)) = 3
 | None(2 / x) = 4 | {sub~eval~comm}~{assoc~eval~add0} {$~0.1~0.0.0}~{0.0~0.0.1~0.0}, {(-1)~(3 - (-1))~((-1) + (2 / x))}~{(((2 / x) + (-1)) - (-1))~((-1) - (-1))~((2 / x) + 0)}((2 / x) * 2) = (4 * 2) | mul 2(2 * (2 / x)) = (4 * 2) | comm 0.0, ((2 / x) * 2)(2 * (2 / x)) = 8 | eval 0.1, (4 * 2)((2 * 2) / x) = 8 | assoc 0.0, (2 * (2 / x))(4 / x) = 8 | eval 0.0.0, (2 * 2)((4 / x) * 8) = (8 * 8) | mul 8(8 * (4 / x)) = (8 * 8) | comm 0.0, ((4 / x) * 8)((8 * 4) / x) = (8 * 8) | assoc 0.0, (8 * (4 / x))((4 * 8) / x) = (8 * 8) | comm 0.0.0, (8 * 4)(8 * 8) = ((4 * 8) / x) | refl(8 * 8) = (4 * (8 / x)) | assoc 0.1, ((4 * 8) / x)((8 * 8) * x) = ((4 * (8 / x)) * x) | mul x((8 * 8) * x) = (x * (4 * (8 / x))) | comm 0.1, ((4 * (8 / x)) * x)((8 * 8) * x) = (x * ((4 * 8) / x)) | assoc 0.1.1, (4 * (8 / x))((8 * 8) * x) = (x * ((8 * 4) / x)) | comm 0.1.1.0, (4 * 8)((8 * 8) * x) = (x * (8 * (4 / x))) | assoc 0.1.1, ((8 * 4) / x)((8 * 8) * x) = ((x * 8) * (4 / x)) | assoc 0.1, (x * (8 * (4 / x)))((8 * 8) * x) = (8x * (4 / x)) | comm 0.1.0, (x * 8)((8 * 8) * x) = ((8x * 4) / x) | assoc 0.1, (8x * (4 / x))((8 * 8) * x) = ((4 * 8x) / x) | comm 0.1.0, (8x * 4)((8 * 8) * x) = (4 * (8x / x)) | assoc 0.1, ((4 * 8x) / x)((8 * 8) * x) = (4 * (8 * (x / x))) | assoc 0.1.1, (8x / x)((8 * 8) * x) = (4 * (8 * 1)) | div_self 0.1.1.1, (x / x)64x = (4 * (8 * 1)) | eval 0.0.0, (8 * 8)64x = (4 * 8) | eval 0.1.1, (8 * 1)64x = 32 | eval 0.1, (4 * 8)x = [1/2] | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 64~(32 / 64)~64x~((x * 64) / 64)~(64 / 64)~(x * 1)"
22,28,"(-1x + 2x) = (-3)
 | None(((-1) + 2) * x) = (-3) | dist 0.0, (-1x + 2x)1x = (-3) | eval 0.0.0, ((-1) + 2)x = (-3) | mul1 0.0, 1x"
23,31,"((-1) + -2x) = (-3x + (-4))
 | None(-2x + (-1)) = (-3x + (-4)) | comm 0.0, ((-1) + -2x)((-2x + (-1)) - (-1)) = ((-3x + (-4)) - (-1)) | sub (-1)-2x = ((-3x + (-4)) - (-1)) | assoc~eval~add0 0.0~0.0.1~0.0, ((-2x + (-1)) - (-1))~((-1) - (-1))~(-2x + 0)-2x = (-3x + ((-4) - (-1))) | assoc 0.1, ((-3x + (-4)) - (-1))1x = (((-4) - (-1)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -3x~(-2x - -3x)~(-3x + ((-4) - (-1)))~((((-4) - (-1)) + -3x) - -3x)~(-3x - -3x)~((-2) - (-3))1x = (-3) | eval~eval 0.1.0~0.1, ((-4) - (-1))~((-3) + 0)x = (-3) | mul1 0.0, 1x"
24,32,"((-1x + 2) - 3x) = 4
 | None((-1x + 2) + -3x) = 4 | subsub 0.0, ((-1x + 2) - 3x)((-3x + (-1x + 2)) - 2) = 2 | sub~eval~comm $~0.1~0.0.0, 2~(4 - 2)~((-1x + 2) + -3x)(-3x + ((-1x + 2) - 2)) = 2 | assoc 0.0, ((-3x + (-1x + 2)) - 2)(-3x + -1x) = 2 | assoc~eval~add0 0.0.1~0.0.1.1~0.0.1, ((-1x + 2) - 2)~(2 - 2)~(-1x + 0)(((-3) + (-1)) * x) = 2 | dist 0.0, (-3x + -1x)-4x = 2 | eval 0.0.0, ((-3) + (-1))x = ([-1/2]) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-4)~(2 / (-4))~-4x~((x * (-4)) / (-4))~((-4) / (-4))~(x * 1)"
25,33,"1 = ((-2) + -3x)
 | None1 = (-3x + (-2)) | comm 0.1, ((-2) + -3x)(-3x + (-2)) = 1 | refl-3x = 3 | sub~{assoc~eval~eval~add0} $~{0.0~0.0.1~0.1~0.0}, (-2)~{((-3x + (-2)) - (-2))~((-2) - (-2))~(1 - (-2))~(-3x + 0)}x = (-1) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-3)~(3 / (-3))~-3x~((x * (-3)) / (-3))~((-3) / (-3))~(x * 1)"
26,34,"((-1) - 2x) = (3x - 4)
 | None((-1) + -2x) = (3x - 4) | subsub 0.0, ((-1) - 2x)(-2x + (-1)) = (3x - 4) | comm 0.0, ((-1) + -2x)((-2x + (-1)) - (-1)) = ((3x - 4) - (-1)) | sub (-1)-2x = ((3x - 4) - (-1)) | assoc~eval~add0 0.0~0.0.1~0.0, ((-2x + (-1)) - (-1))~((-1) - (-1))~(-2x + 0)-2x = ((3x + (-4)) - (-1)) | subsub 0.1.0, (3x - 4)-2x = (3x + ((-4) - (-1))) | assoc 0.1, ((3x + (-4)) - (-1))-5x = (((-4) - (-1)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 3x~(-2x - 3x)~(3x + ((-4) - (-1)))~((((-4) - (-1)) + 3x) - 3x)~(3x - 3x)~((-2) - 3)-5x = (-3) | eval~eval 0.1.0~0.1, ((-4) - (-1))~((-3) + 0)x = [3/5] | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-5)~((-3) / (-5))~-5x~((x * (-5)) / (-5))~((-5) / (-5))~(x * 1)"
27,35,"((1x - 2) + 3) = ((4x - 5) + 6)
 | None((1x + (-2)) + 3) = ((4x - 5) + 6) | subsub 0.0.0, (1x - 2)(1x + ((-2) + 3)) = ((4x - 5) + 6) | assoc 0.0, ((1x + (-2)) + 3)(1x + 1) = ((4x - 5) + 6) | eval 0.0.1, ((-2) + 3)((1x + 1) - 1) = (((4x - 5) + 6) - 1) | sub 11x = (((4x - 5) + 6) - 1) | assoc~eval~add0 0.0~0.0.1~0.0, ((1x + 1) - 1)~(1 - 1)~(1x + 0)1x = (((4x + (-5)) + 6) - 1) | subsub 0.1.0.0, (4x - 5)1x = ((4x + ((-5) + 6)) - 1) | assoc 0.1.0, ((4x + (-5)) + 6)1x = (4x + (((-5) + 6) - 1)) | assoc 0.1, ((4x + ((-5) + 6)) - 1)1x = (4x + 0) | eval~eval 0.1.1.0~0.1.1, ((-5) + 6)~(1 - 1)-3x = (0 + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 4x~(1x - 4x)~(4x + 0)~((0 + 4x) - 4x)~(4x - 4x)~(1 - 4)-3x = 0 | eval 0.1, (0 + 0)x = 0 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-3)~(0 / (-3))~-3x~((x * (-3)) / (-3))~((-3) / (-3))~(x * 1)"
28,36,"1 = ((2 - 3x) - 4x)
 | None1 = ((2 + -3x) - 4x) | subsub 0.1.0, (2 - 3x)1 = ((-3x + 2) - 4x) | comm 0.1.0, (2 + -3x)1 = ((-3x + 2) + -4x) | subsub 0.1, ((-3x + 2) - 4x)1 = (-4x + (-3x + 2)) | comm 0.1, ((-3x + 2) + -4x)1 = ((-4x + -3x) + 2) | assoc 0.1, (-4x + (-3x + 2))1 = ((((-4) + (-3)) * x) + 2) | dist 0.1.0, (-4x + -3x)1 = (-7x + 2) | eval 0.1.0.0, ((-4) + (-3))(-7x + 2) = 1 | refl-7x = (-1) | sub~{assoc~eval~eval~add0} $~{0.0~0.0.1~0.1~0.0}, 2~{((-7x + 2) - 2)~(2 - 2)~(1 - 2)~(-7x + 0)}x = [1/7] | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-7)~((-1) / (-7))~-7x~((x * (-7)) / (-7))~((-7) / (-7))~(x * 1)"
29,37,"((1 + 2) * x) = 3
 | None3x = 3 | eval 0.0.0, (1 + 2)x = 1 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 3~(3 / 3)~3x~((x * 3) / 3)~(3 / 3)~(x * 1)"
30,39,"x = (-1x + 2)
 | None(x * 2) = ((-1x + 2) * 2) | mul 2(x * 2) = ((-1x * 2) + (2 * 2)) | dist 0.1, ((-1x + 2) * 2)2x = ((-1x * 2) + (2 * 2)) | comm 0.0, (x * 2)2x = ((2 * -1x) + (2 * 2)) | comm 0.1.0, (-1x * 2)2x = (((2 * (-1)) * x) + (2 * 2)) | assoc 0.1.0, (2 * -1x)2x = (-2x + (2 * 2)) | eval 0.1.0.0, (2 * (-1))4x = ((2 * 2) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -2x~(2x - -2x)~(-2x + (2 * 2))~(((2 * 2) + -2x) - -2x)~(-2x - -2x)~(2 - (-2))4x = 4 | eval~eval 0.1.0~0.1, (2 * 2)~(4 + 0)x = 1 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 4~(4 / 4)~4x~((x * 4) / 4)~(4 / 4)~(x * 1)"
