,Equation Number,Equation Output
21,27,"((-1) + (2 / x)) = 3
 | (2 / x) = 4 | ((2 / x) * 2) = (4 * 2) | (2 * (2 / x)) = (4 * 2) | (2 * (2 / x)) = 8 | ((2 * 2) / x) = 8 | (4 / x) = 8 | ((4 / x) * 8) = (8 * 8) | (8 * (4 / x)) = (8 * 8) | ((8 * 4) / x) = (8 * 8) | ((4 * 8) / x) = (8 * 8) | (8 * 8) = ((4 * 8) / x) | (8 * 8) = (4 * (8 / x)) | ((8 * 8) * x) = ((4 * (8 / x)) * x) | ((8 * 8) * x) = (x * (4 * (8 / x))) | ((8 * 8) * x) = (x * ((4 * 8) / x)) | ((8 * 8) * x) = (x * ((8 * 4) / x)) | ((8 * 8) * x) = (x * (8 * (4 / x))) | ((8 * 8) * x) = ((x * 8) * (4 / x)) | ((8 * 8) * x) = (8x * (4 / x)) | ((8 * 8) * x) = ((8x * 4) / x) | ((8 * 8) * x) = ((4 * 8x) / x) | ((8 * 8) * x) = (4 * (8x / x)) | ((8 * 8) * x) = (4 * (8 * (x / x))) | ((8 * 8) * x) = (4 * (8 * 1)) | 64x = (4 * (8 * 1)) | 64x = (4 * 8) | 64x = 32 | x = [1/2]"
22,28,"(-1x + 2x) = (-3)
 | (((-1) + 2) * x) = (-3) | 1x = (-3) | x = (-3)"
23,31,"((-1) + -2x) = (-3x + (-4))
 | (-2x + (-1)) = (-3x + (-4)) | ((-2x + (-1)) - (-1)) = ((-3x + (-4)) - (-1)) | -2x = ((-3x + (-4)) - (-1)) | -2x = (-3x + ((-4) - (-1))) | 1x = (((-4) - (-1)) + 0) | 1x = (-3) | x = (-3)"
24,32,"((-1x + 2) - 3x) = 4
 | ((-1x + 2) + -3x) = 4 | ((-3x + (-1x + 2)) - 2) = 2 | (-3x + ((-1x + 2) - 2)) = 2 | (-3x + -1x) = 2 | (((-3) + (-1)) * x) = 2 | -4x = 2 | x = ([-1/2])"
25,33,"1 = ((-2) + -3x)
 | 1 = (-3x + (-2)) | (-3x + (-2)) = 1 | -3x = 3 | x = (-1)"
26,34,"((-1) - 2x) = (3x - 4)
 | ((-1) + -2x) = (3x - 4) | (-2x + (-1)) = (3x - 4) | ((-2x + (-1)) - (-1)) = ((3x - 4) - (-1)) | -2x = ((3x - 4) - (-1)) | -2x = ((3x + (-4)) - (-1)) | -2x = (3x + ((-4) - (-1))) | -5x = (((-4) - (-1)) + 0) | -5x = (-3) | x = [3/5]"
27,35,"((1x - 2) + 3) = ((4x - 5) + 6)
 | ((1x + (-2)) + 3) = ((4x - 5) + 6) | (1x + ((-2) + 3)) = ((4x - 5) + 6) | (1x + 1) = ((4x - 5) + 6) | ((1x + 1) - 1) = (((4x - 5) + 6) - 1) | 1x = (((4x - 5) + 6) - 1) | 1x = (((4x + (-5)) + 6) - 1) | 1x = ((4x + ((-5) + 6)) - 1) | 1x = (4x + (((-5) + 6) - 1)) | 1x = (4x + 0) | -3x = (0 + 0) | -3x = 0 | x = 0"
28,36,"1 = ((2 - 3x) - 4x)
 | 1 = ((2 + -3x) - 4x) | 1 = ((-3x + 2) - 4x) | 1 = ((-3x + 2) + -4x) | 1 = (-4x + (-3x + 2)) | 1 = ((-4x + -3x) + 2) | 1 = ((((-4) + (-3)) * x) + 2) | 1 = (-7x + 2) | (-7x + 2) = 1 | -7x = (-1) | x = [1/7]"
29,37,"((1 + 2) * x) = 3
 | 3x = 3 | x = 1"
30,39,"x = (-1x + 2)
 | (x * 2) = ((-1x + 2) * 2) | (x * 2) = ((-1x * 2) + (2 * 2)) | 2x = ((-1x * 2) + (2 * 2)) | 2x = ((2 * -1x) + (2 * 2)) | 2x = (((2 * (-1)) * x) + (2 * 2)) | 2x = (-2x + (2 * 2)) | 4x = ((2 * 2) + 0) | 4x = 4 | x = 1"
31,40,"1 = (2x + 3)
 | (2x + 3) = 1 | 2x = (-2) | x = (-1)"
32,41,"(1 + 2x) = (3x + 4)
 | (2x + 1) = (3x + 4) | ((2x + 1) - 1) = ((3x + 4) - 1) | 2x = ((3x + 4) - 1) | 2x = (3x + (4 - 1)) | -1x = ((4 - 1) + 0) | -1x = 3 | x = (-3)"
33,43,"((-1) + -2x) = (-3)
 | -2x = (-2) | x = 1"
34,44,"((-1) + 2x) = (-3x + (-4))
 | (2x + (-1)) = (-3x + (-4)) | ((2x + (-1)) - (-1)) = ((-3x + (-4)) - (-1)) | 2x = ((-3x + (-4)) - (-1)) | 2x = (-3x + ((-4) - (-1))) | 5x = (((-4) - (-1)) + 0) | 5x = (-3) | x = ([-3/5])"
35,45,"(1x - -2x) = 3
 | ((1 - (-2)) * x) = 3 | 3x = 3 | x = 1"
36,46,"((-1) + 2x) = (3x - 4)
 | (2x + (-1)) = (3x - 4) | ((2x + (-1)) - (-1)) = ((3x - 4) - (-1)) | ((2x + (-1)) - (-1)) = ((3x + (-4)) - (-1)) | 2x = ((3x + (-4)) - (-1)) | 2x = (3x + ((-4) - (-1))) | -1x = (((-4) - (-1)) + 0) | -1x = (-3) | x = 3"
37,48,"(-1x + 2) = (3x + (-4))
 | ((-1x + 2) - 2) = ((3x + (-4)) - 2) | -1x = ((3x + (-4)) - 2) | -1x = (3x + ((-4) - 2)) | -4x = (((-4) - 2) + 0) | -4x = (-6) | x = [3/2]"
38,49,"(-1x + 2x) = ((-3) + 4)
 | (((-1) + 2) * x) = ((-3) + 4) | 1x = ((-3) + 4) | 1x = 1 | x = 1"
39,50,"1x = (2 + 3)
 | 1x = 5 | x = 5"
40,51,"((-1) - 2x) = (3 - 4x)
 | ((-1) - 2x) = (3 + -4x) | ((-1) + -2x) = (3 + -4x) | ((-1) + -2x) = (-4x + 3) | (-2x + (-1)) = (-4x + 3) | ((-2x + (-1)) - (-1)) = ((-4x + 3) - (-1)) | -2x = ((-4x + 3) - (-1)) | -2x = (-4x + (3 - (-1))) | 2x = ((3 - (-1)) + 0) | 2x = 4 | x = 2"
41,53,"1 = -2x
 | -2x = 1 | x = ([-1/2])"
42,54,"((-1) + -2x) = ((-3) + -4x)
 | (-2x + (-1)) = ((-3) + -4x) | ((-2x + (-1)) - (-1)) = (((-3) + -4x) - (-1)) | -2x = (((-3) + -4x) - (-1)) | -2x = ((-4x + (-3)) - (-1)) | -2x = (-4x + ((-3) - (-1))) | 2x = (((-3) - (-1)) + 0) | 2x = (-2) | x = (-1)"
43,55,"-1x = (-2)
 | x = 2"
44,56,"((-1) + -2x) = (3 + -4x)
 | ((-1) + -2x) = (-4x + 3) | (-2x + (-1)) = (-4x + 3) | ((-2x + (-1)) - (-1)) = ((-4x + 3) - (-1)) | -2x = ((-4x + 3) - (-1)) | -2x = (-4x + (3 - (-1))) | 2x = ((3 - (-1)) + 0) | 2x = 4 | x = 2"
45,60,"(1x + 2) = (3 - 4x)
 | (1x + 2) = (3 + -4x) | (1x + 2) = (-4x + 3) | ((1x + 2) - 2) = ((-4x + 3) - 2) | 1x = ((-4x + 3) - 2) | 1x = (-4x + (3 - 2)) | 5x = ((3 - 2) + 0) | 5x = 1 | x = [1/5]"
46,61,"(1 + -2x) = 3
 | -2x = 2 | x = (-1)"
47,62,"(((-1) + 2x) + 3x) = ((-4x + (-5)) + 6x)
 | (3x + ((-1) + 2x)) = ((-4x + (-5)) + 6x) | (3x + ((-1) + 2x)) = (((-5) + -4x) + 6x) | (3x + (2x + (-1))) = (((-5) + -4x) + 6x) | ((3x + (2x + (-1))) - (-1)) = ((((-5) + -4x) + 6x) - (-1)) | ((3x + (2x + (-1))) - (-1)) = ((6x + ((-5) + -4x)) - (-1)) | (3x + ((2x + (-1)) - (-1))) = ((6x + ((-5) + -4x)) - (-1)) | (3x + 2x) = ((6x + ((-5) + -4x)) - (-1)) | (2x + 3x) = ((6x + ((-5) + -4x)) - (-1)) | ((2 + 3) * x) = ((6x + ((-5) + -4x)) - (-1)) | ((2 + 3) * x) = ((6x + (-4x + (-5))) - (-1)) | ((2 + 3) * x) = (((6x + -4x) + (-5)) - (-1)) | ((2 + 3) * x) = ((((6 + (-4)) * x) + (-5)) - (-1)) | 5x = ((((6 + (-4)) * x) + (-5)) - (-1)) | 5x = ((2x + (-5)) - (-1)) | 5x = (2x + ((-5) - (-1))) | 3x = (((-5) - (-1)) + 0) | 3x = (-4) | x = ([-4/3])"
48,63,"1x = (2x + 3)
 | -1x = (3 + 0) | -1x = 3 | x = (-3)"
49,64,"((-1x - 2) + 3) = 4x
 | 4x = ((-1x - 2) + 3) | 4x = ((-1x + (-2)) + 3) | 4x = (-1x + ((-2) + 3)) | 5x = (((-2) + 3) + 0) | 5x = 1 | x = [1/5]"
50,65,"((1 - 2) / 3) = x
 | x = ((1 - 2) / 3) | x = ([-1/3])"
51,68,"(1x + (-2)) = (-3x + (-4))
 | ((1x + (-2)) - (-2)) = ((-3x + (-4)) - (-2)) | 1x = ((-3x + (-4)) - (-2)) | 1x = (-3x + ((-4) - (-2))) | 4x = (((-4) - (-2)) + 0) | 4x = (-2) | x = ([-1/2])"
52,69,"(-1x + (-2)) = (-3)
 | -1x = (-1) | x = 1"
53,70,"(-1x - 2) = (3 + 4x)
 | (-1x + (-2)) = (3 + 4x) | (-1x + (-2)) = (4x + 3) | (4x + 3) = (-1x + (-2)) | ((4x + 3) - 3) = ((-1x + (-2)) - 3) | 4x = ((-1x + (-2)) - 3) | 4x = (-1x + ((-2) - 3)) | 5x = (((-2) - 3) + 0) | 5x = (-5) | x = (-1)"
54,71,"(-1x + 2) = (-3)
 | -1x = (-5) | x = 5"
55,72,"((-1) + 2x) = 3
 | 2x = 4 | x = 2"
56,73,"(-1x + (-2)) = ((-3) + 4x)
 | ((-1x + (-2)) - (-2)) = (((-3) + 4x) - (-2)) | -1x = (((-3) + 4x) - (-2)) | -1x = ((4x + (-3)) - (-2)) | -1x = (4x + ((-3) - (-2))) | -5x = (((-3) - (-2)) + 0) | -5x = (-1) | x = [1/5]"
57,74,"(-1x + 2) = ((-3) + 4x)
 | (-1x + 2) = (4x + (-3)) | ((-1x + 2) - 2) = ((4x + (-3)) - 2) | -1x = ((4x + (-3)) - 2) | -1x = (4x + ((-3) - 2)) | -5x = (((-3) - 2) + 0) | -5x = (-5) | x = 1"
58,75,"((-1) + -2x) = (-3x + 4)
 | (-2x + (-1)) = (-3x + 4) | ((-2x + (-1)) - (-1)) = ((-3x + 4) - (-1)) | -2x = ((-3x + 4) - (-1)) | -2x = (-3x + (4 - (-1))) | 1x = ((4 - (-1)) + 0) | 1x = 5 | x = 5"
59,76,"((-1) - 2x) = (-3)
 | ((-1) + -2x) = (-3) | -2x = (-2) | x = 1"
60,78,"1x = (((2 - 3x) - 4) + 5x)
 | 1x = (((2 + -3x) - 4) + 5x) | 1x = (5x + ((2 + -3x) - 4)) | 1x = (5x + ((-3x + 2) - 4)) | -4x = (((-3x + 2) - 4) + 0) | -4x = ((-3x + 2) - 4) | -4x = (-3x + (2 - 4)) | -1x = ((2 - 4) + 0) | -1x = (-2) | x = 2"
61,80,"(1x + (-2)) = ((-3) + -4x)
 | ((1x + (-2)) - (-2)) = (((-3) + -4x) - (-2)) | 1x = (((-3) + -4x) - (-2)) | 1x = ((-4x + (-3)) - (-2)) | 1x = (-4x + ((-3) - (-2))) | 5x = (((-3) - (-2)) + 0) | 5x = (-1) | x = ([-1/5])"
62,81,"1x = (-2x - 3)
 | 1x = (-2x + (-3)) | 3x = ((-3) + 0) | 3x = (-3) | x = (-1)"
63,82,"(-1) = x
 | x = (-1)"
64,83,"((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
 | (3x + (1 + 2x)) = ((-4x + (-5)) + 6x) | (3x + (1 + 2x)) = (((-5) + -4x) + 6x) | (3x + (2x + 1)) = (((-5) + -4x) + 6x) | (3x + (2x + 1)) = (6x + ((-5) + -4x)) | ((3x + (2x + 1)) - 1) = ((6x + ((-5) + -4x)) - 1) | (3x + ((2x + 1) - 1)) = ((6x + ((-5) + -4x)) - 1) | (3x + 2x) = ((6x + ((-5) + -4x)) - 1) | (2x + 3x) = ((6x + ((-5) + -4x)) - 1) | ((2 + 3) * x) = ((6x + ((-5) + -4x)) - 1) | 5x = ((6x + ((-5) + -4x)) - 1) | 5x = ((6x + (-4x + (-5))) - 1) | 5x = (((6x + -4x) + (-5)) - 1) | 5x = ((((6 + (-4)) * x) + (-5)) - 1) | 5x = ((2x + (-5)) - 1) | 5x = (2x + ((-5) - 1)) | 3x = (((-5) - 1) + 0) | 3x = (-6) | x = (-2)"
65,85,"x = ((1 - 2) / (-3))
 | x = [1/3]"
66,86,"(1 + -2x) = ((-3) + 4x)
 | (-2x + 1) = ((-3) + 4x) | (-2x + 1) = (4x + (-3)) | ((-2x + 1) - 1) = ((4x + (-3)) - 1) | -2x = ((4x + (-3)) - 1) | -2x = (4x + ((-3) - 1)) | -6x = (((-3) - 1) + 0) | -6x = (-4) | x = [2/3]"
67,88,"(1 + -2x) = (-3)
 | -2x = (-4) | x = 2"
68,89,"(-1x + 2) = (3 + -4x)
 | (-1x + 2) = (-4x + 3) | ((-1x + 2) - 2) = ((-4x + 3) - 2) | -1x = ((-4x + 3) - 2) | -1x = (-4x + (3 - 2)) | 3x = ((3 - 2) + 0) | 3x = 1 | x = [1/3]"
69,90,"1 = (2x + (-3))
 | (2x + (-3)) = 1 | 2x = 4 | x = 2"
70,92,"(-1x + 2) = (3x + 4)
 | ((-1x + 2) - 2) = ((3x + 4) - 2) | -1x = ((3x + 4) - 2) | -1x = (3x + (4 - 2)) | -4x = ((4 - 2) + 0) | -4x = 2 | x = ([-1/2])"
71,93,"(1x - -2x) = (-3)
 | ((1 - (-2)) * x) = (-3) | 3x = (-3) | x = (-1)"
72,94,"(-1x + 2) = 3
 | -1x = 1 | x = (-1)"
73,95,"(1 + -2x) = (3 + 4x)
 | (-2x + 1) = (3 + 4x) | (-2x + 1) = (4x + 3) | ((-2x + 1) - 1) = ((4x + 3) - 1) | -2x = ((4x + 3) - 1) | -2x = (4x + (3 - 1)) | -6x = ((3 - 1) + 0) | -6x = 2 | x = ([-1/3])"
74,96,"(-1) = ((2x + 3x) - 4)
 | ((2x + 3x) - 4) = (-1) | (2x + 3x) = 3 | ((2 + 3) * x) = 3 | 5x = 3 | x = [3/5]"
75,97,"((-1x - 2) - 3x) = (-4)
 | ((-1x + (-2)) - 3x) = (-4) | ((-1x + (-2)) + -3x) = (-4) | ((-3x + (-1x + (-2))) - (-4)) = 0 | (-3x + ((-1x + (-2)) - (-4))) = 0 | (-3x + (-1x + ((-2) - (-4)))) = 0 | ((-3x + -1x) + ((-2) - (-4))) = 0 | ((((-3) + (-1)) * x) + ((-2) - (-4))) = 0 | (-4x + ((-2) - (-4))) = 0 | (-4x + 2) = 0 | -4x = (-2) | x = [1/2]"
76,98,"-1x = ((-2) - 3)
 | -1x = (-5) | x = 5"
77,100,"x = (((-1) + 2) / 3)
 | x = [1/3]"
78,101,"((1 + 2x) - 3) = -4x
 | -4x = ((1 + 2x) - 3) | -4x = ((2x + 1) - 3) | -4x = (2x + (1 - 3)) | -6x = ((1 - 3) + 0) | -6x = (-2) | x = [1/3]"
79,102,"-1x = ((2 / x) * x)
 | -1x = (x * (2 / x)) | (x * (2 / x)) = -1x | ((x * (2 / x)) * (-1)) = (-1x * (-1)) | (x * ((2 / x) * (-1))) = (-1x * (-1)) | (x * ((2 / x) * (-1))) = ((-1) * -1x) | (x * ((2 / x) * (-1))) = (((-1) * (-1)) * x) | ((x * (2 / x)) * (-1)) = (((-1) * (-1)) * x) | (((-1) * (-1)) * x) = ((x * (2 / x)) * (-1)) | (((-1) * (-1)) * x) = ((-1) * (x * (2 / x))) | (((-1) * (-1)) * x) = (-1x * (2 / x)) | (((-1) * (-1)) * x) = ((-1x * 2) / x) | (((-1) * (-1)) * x) = ((2 * -1x) / x) | (((-1) * (-1)) * x) = (((2 * (-1)) * x) / x) | (((-1) * (-1)) * x) = ((2 * (-1)) * (x / x)) | (((-1) * (-1)) * x) = ((2 * (-1)) * 1) | 1x = ((2 * (-1)) * 1) | 1x = (-2) | x = (-2)"
80,103,"((-1) - 2) = (3x - 4x)
 | ((-1) - 2) = ((3 - 4) * x) | ((3 - 4) * x) = ((-1) - 2) | -1x = ((-1) - 2) | -1x = (-3) | x = 3"
81,105,"1x = 2
 | x = 2"
82,106,"(1 - 2) = 3x
 | 3x = (1 - 2) | 3x = (-1) | x = ([-1/3])"
83,107,"(1x + 2) = ((-3) + 4x)
 | (1x + 2) = (4x + (-3)) | ((1x + 2) - 2) = ((4x + (-3)) - 2) | 1x = ((4x + (-3)) - 2) | 1x = (4x + ((-3) - 2)) | -3x = (((-3) - 2) + 0) | -3x = (-5) | x = [5/3]"
84,108,"(-1x + 2) = ((-3) + -4x)
 | ((-1x + 2) - 2) = (((-3) + -4x) - 2) | ((-1x + 2) - 2) = ((-4x + (-3)) - 2) | -1x = ((-4x + (-3)) - 2) | -1x = (-4x + ((-3) - 2)) | 3x = (((-3) - 2) + 0) | 3x = (-5) | x = ([-5/3])"
85,109,"((-1) + 2) = 3x
 | 3x = ((-1) + 2) | 3x = 1 | x = [1/3]"
86,110,"((-1) + -2x) = (3 + 4x)
 | (-2x + (-1)) = (3 + 4x) | (-2x + (-1)) = (4x + 3) | ((-2x + (-1)) - (-1)) = ((4x + 3) - (-1)) | -2x = ((4x + 3) - (-1)) | -2x = (4x + (3 - (-1))) | -6x = ((3 - (-1)) + 0) | -6x = 4 | x = ([-2/3])"
87,111,"-1x = (2 + 3)
 | -1x = 5 | x = (-5)"
88,112,"((-1) + 2x) = ((-3) + 4x)
 | (2x + (-1)) = ((-3) + 4x) | ((2x + (-1)) - (-1)) = (((-3) + 4x) - (-1)) | ((2x + (-1)) - (-1)) = ((4x + (-3)) - (-1)) | 2x = ((4x + (-3)) - (-1)) | 2x = (4x + ((-3) - (-1))) | -2x = (((-3) - (-1)) + 0) | -2x = (-2) | x = 1"
89,113,"(1 + 2x) = 3
 | 2x = 2 | x = 1"
90,115,"((-1) + 2x) = (-3)
 | 2x = (-2) | x = (-1)"
91,116,"(1 + 2x) = (-3x + 4)
 | (2x + 1) = (-3x + 4) | ((2x + 1) - 1) = ((-3x + 4) - 1) | 2x = ((-3x + 4) - 1) | 2x = (-3x + (4 - 1)) | 5x = ((4 - 1) + 0) | 5x = 3 | x = [3/5]"
92,118,"-1x = ((-2) + x)
 | -1x = (x + (-2)) | (x + (-2)) = -1x | ((x + (-2)) - (-2)) = (-1x - (-2)) | x = (-1x - (-2)) | x = (-1x + 2) | (x * 2) = ((-1x + 2) * 2) | (x * 2) = ((-1x * 2) + (2 * 2)) | 2x = ((-1x * 2) + (2 * 2)) | 2x = ((2 * -1x) + (2 * 2)) | 2x = (((2 * (-1)) * x) + (2 * 2)) | 2x = (-2x + (2 * 2)) | 4x = ((2 * 2) + 0) | 4x = 4 | x = 1"
93,119,"(-1x + 2) = 3x
 | 3x = (-1x + 2) | 4x = (2 + 0) | 4x = 2 | x = [1/2]"
94,120,"1 = (2 + 3x)
 | 1 = (3x + 2) | (3x + 2) = 1 | 3x = (-1) | x = ([-1/3])"
95,121,"(1x - 2) = ((-3) + 4x)
 | ((1x - 2) + 2) = (((-3) + 4x) + 2) | ((1x + (-2)) + 2) = (((-3) + 4x) + 2) | 1x = (((-3) + 4x) + 2) | 1x = ((4x + (-3)) + 2) | 1x = (4x + ((-3) + 2)) | -3x = (((-3) + 2) + 0) | -3x = (-1) | x = [1/3]"
96,122,"-1x = (((-2) + 3x) + 4)
 | -1x = ((3x + (-2)) + 4) | -1x = (3x + ((-2) + 4)) | -4x = (((-2) + 4) + 0) | -4x = 2 | x = ([-1/2])"
97,123,"(-1) = ((-2) + 3x)
 | (-1) = (3x + (-2)) | (3x + (-2)) = (-1) | 3x = 1 | x = [1/3]"
98,124,"(1x + 2) = (-3)
 | x = (-5)"
99,126,"(1x + 2) = (-3x + (-4))
 | ((1x + 2) - 2) = ((-3x + (-4)) - 2) | 1x = ((-3x + (-4)) - 2) | 1x = (-3x + ((-4) - 2)) | 4x = (((-4) - 2) + 0) | 4x = (-6) | x = ([-3/2])"
100,128,"(-1x + 2) = (3 + 4x)
 | (-1x + 2) = (4x + 3) | ((-1x + 2) - 2) = ((4x + 3) - 2) | -1x = ((4x + 3) - 2) | -1x = (4x + (3 - 2)) | -5x = ((3 - 2) + 0) | -5x = 1 | x = ([-1/5])"
101,129,"1 = (2x - 3x)
 | 1 = ((2 - 3) * x) | ((2 - 3) * x) = 1 | -1x = 1 | x = (-1)"
102,131,"(1 - 2x) = -3x
 | -3x = (1 - 2x) | -3x = (1 + -2x) | -3x = (-2x + 1) | -1x = (1 + 0) | -1x = 1 | x = (-1)"
103,133,"x = ((1 + 2) / 3)
 | x = 1"
104,134,"(-1) = ((-2) + -3x)
 | ((-2) + -3x) = (-1) | -3x = 1 | x = ([-1/3])"
